,Unnamed: 0,Season,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Off,Def,WAR,playerid,clusters
6800,6800,1996,157,654,10,104,78,14,0.073,0.156,0.115,0.361,0.314,0.37,0.43,0.8,0.354,106,-0.5,5.3,-5.5,2.2,826,1
6801,6801,2009,161,711,18,94,101,6,0.079,0.138,0.16,0.317,0.293,0.347,0.453,0.8,0.349,107,3.6,9.8,-13.2,2.2,5930,1
6802,6802,2016,151,646,14,70,86,2,0.073,0.107,0.159,0.314,0.296,0.345,0.455,0.8,0.342,116,-3.6,9.0,-10.2,2.2,4022,1
6803,6803,1979,147,590,21,69,87,3,0.105,0.078,0.18,0.259,0.27,0.346,0.45,0.796,0.349,105,-0.4,3.2,-0.7,2.2,1014326,0
6804,6804,1940,129,496,7,58,56,9,0.131,0.181,0.125,0.352,0.287,0.383,0.412,0.795,0.369,117,1.5,11.9,-5.5,2.2,1009832,0
6805,6805,1987,143,597,17,74,70,4,0.119,0.065,0.142,0.28,0.284,0.369,0.425,0.794,0.352,111,0.1,8.1,-6.2,2.2,1000799,0
6806,6806,1931,138,594,1,74,75,3,0.089,0.067,0.1,0.339,0.315,0.379,0.414,0.793,0.369,118,0.5,14.5,-10.9,2.2,1005643,0
6807,6807,2001,156,683,2,108,55,46,0.06,0.042,0.088,0.341,0.327,0.378,0.415,0.793,0.35,91,1.8,-6.5,6.2,2.2,443,1
6808,6808,2014,152,660,27,68,85,5,0.171,0.188,0.196,0.249,0.231,0.365,0.427,0.792,0.353,127,-1.7,17.5,-17.8,2.2,2396,1
6809,6809,2002,156,676,18,94,83,4,0.037,0.141,0.166,0.319,0.293,0.33,0.459,0.789,0.34,105,0.0,4.1,-5.1,2.2,196,1
6810,6810,1982,144,586,12,58,70,8,0.114,0.121,0.112,0.324,0.297,0.38,0.409,0.789,0.356,116,-0.4,10.9,-8.3,2.2,1001106,0
6811,6811,1935,149,701,3,96,70,6,0.053,0.049,0.084,0.348,0.332,0.373,0.416,0.789,0.365,105,-2.1,2.9,-3.8,2.2,1002727,0
6812,6812,1981,99,400,6,41,42,2,0.098,0.068,0.115,0.314,0.304,0.37,0.419,0.789,0.351,120,-0.7,8.2,-0.2,2.2,1002786,0
6813,6813,1972,134,594,12,87,53,25,0.042,0.069,0.105,0.333,0.325,0.359,0.43,0.789,0.359,119,2.0,14.2,-15.8,2.2,1004554,0
6814,6814,1951,146,718,12,113,72,4,0.102,0.074,0.122,0.308,0.296,0.37,0.418,0.788,0.366,105,-1.5,3.3,-4.9,2.2,1003310,0
6815,6815,1928,124,526,9,77,54,4,0.055,0.057,0.124,0.314,0.307,0.357,0.431,0.788,0.363,106,0.5,4.8,1.0,2.2,1013773,0
6816,6816,1935,135,575,9,121,54,20,0.057,0.101,0.148,0.322,0.299,0.341,0.447,0.788,0.358,107,3.8,9.2,-6.4,2.2,1008189,0
6817,6817,1970,140,533,27,62,74,5,0.105,0.133,0.214,0.234,0.246,0.327,0.46,0.787,0.343,115,-0.4,8.8,-3.9,2.2,1008973,0
6818,6818,1956,157,637,25,69,80,0,0.057,0.096,0.179,0.278,0.282,0.326,0.461,0.787,0.345,112,-1.7,7.2,-4.0,2.2,1012976,0
6819,6819,1923,125,490,4,56,55,1,0.098,0.082,0.116,0.321,0.297,0.374,0.413,0.787,0.37,105,-0.3,3.2,2.9,2.2,1013753,0
6820,6820,2007,145,534,18,57,74,1,0.06,0.176,0.182,0.304,0.275,0.329,0.457,0.786,0.339,109,-0.5,5.9,-0.8,2.2,5995,1
6821,6821,2016,144,587,22,79,86,17,0.09,0.203,0.205,0.291,0.258,0.323,0.463,0.786,0.331,106,0.1,4.7,-1.0,2.2,12907,1
6822,6822,1921,153,715,7,87,72,21,0.095,0.049,0.111,0.31,0.301,0.372,0.412,0.784,0.365,104,3.9,8.1,-9.6,2.2,1006644,0
6823,6823,2002,155,675,11,79,64,8,0.074,0.12,0.132,0.329,0.299,0.353,0.431,0.784,0.341,104,-2.8,0.5,-0.2,2.2,359,1
6824,6824,1928,116,481,2,51,73,2,0.042,0.042,0.109,0.335,0.323,0.352,0.432,0.784,0.359,102,-0.3,0.9,3.6,2.2,1005878,0
6825,6825,1998,149,533,23,76,75,4,0.075,0.263,0.217,0.309,0.254,0.311,0.471,0.782,0.335,100,-1.8,-1.9,7.5,2.2,688,1
6826,6826,1969,159,669,27,77,93,3,0.055,0.136,0.182,0.288,0.278,0.319,0.461,0.78,0.35,113,-0.3,9.7,-8.5,2.2,1006037,0
6827,6827,1982,141,553,16,64,61,5,0.139,0.116,0.163,0.263,0.256,0.36,0.419,0.779,0.348,122,-0.6,13.0,-10.7,2.2,1003864,0
6828,6828,2013,158,598,13,54,75,3,0.074,0.129,0.131,0.326,0.299,0.348,0.43,0.778,0.339,117,-1.8,9.8,-8.4,2.2,4556,1
6829,6829,1951,123,483,4,48,64,7,0.139,0.052,0.11,0.292,0.281,0.386,0.391,0.777,0.366,111,1.0,7.9,-2.2,2.2,1012060,0
6830,6830,2017,147,527,26,74,64,6,0.135,0.233,0.241,0.228,0.212,0.323,0.452,0.775,0.33,106,2.9,6.9,-2.7,2.2,4747,1
6831,6831,2001,146,581,25,69,91,1,0.06,0.186,0.206,0.281,0.26,0.308,0.467,0.775,0.328,93,-1.6,-6.5,9.2,2.2,84,1
6832,6832,1924,139,603,6,75,102,11,0.055,0.03,0.113,0.312,0.31,0.351,0.423,0.774,0.359,109,0.7,7.3,-5.0,2.2,1008818,0
6833,6833,1935,143,657,8,97,62,9,0.023,0.021,0.105,0.322,0.324,0.344,0.429,0.773,0.352,105,1.6,5.7,-6.0,2.2,1006400,0
6834,6834,2015,130,538,14,56,73,2,0.058,0.071,0.168,0.278,0.281,0.322,0.449,0.771,0.325,109,-0.5,5.2,-1.4,2.2,4316,1
6835,6835,1934,124,535,2,68,58,3,0.065,0.036,0.102,0.321,0.311,0.358,0.413,0.771,0.355,113,0.4,9.0,-4.1,2.2,1006605,0
6836,6836,1931,129,552,6,75,61,4,0.053,0.016,0.113,0.306,0.309,0.348,0.421,0.769,0.354,108,0.7,6.5,-1.4,2.2,1007424,0
6837,6837,2005,131,522,21,66,74,0,0.105,0.211,0.21,0.265,0.236,0.322,0.446,0.768,0.332,105,0.8,4.1,0.0,2.2,4599,1
6838,6838,2021,139,532,25,75,71,4,0.096,0.246,0.233,0.254,0.224,0.311,0.457,0.768,0.326,106,3.9,8.0,-3.1,2.2,14854,1
6839,6839,1946,146,591,8,68,50,11,0.113,0.091,0.126,0.297,0.277,0.362,0.403,0.765,0.363,114,1.9,11.3,-8.5,2.2,1011315,0
6840,6840,1955,130,556,27,65,93,3,0.124,0.189,0.191,0.248,0.239,0.335,0.43,0.765,0.344,98,1.1,0.0,2.2,2.2,1014422,0
6841,6841,2008,159,687,17,80,89,6,0.039,0.098,0.146,0.306,0.297,0.322,0.443,0.765,0.329,102,-1.4,0.3,-1.9,2.2,3114,1
6842,6842,2002,126,517,16,56,74,4,0.052,0.141,0.172,0.295,0.278,0.315,0.45,0.765,0.324,99,-3.3,-4.2,9.1,2.2,1130,1
6843,6843,1991,131,543,4,67,43,17,0.063,0.136,0.097,0.359,0.312,0.357,0.408,0.765,0.344,121,-0.2,12.6,-9.6,2.2,1008513,0
6844,6844,1987,141,552,22,65,72,16,0.058,0.199,0.181,0.301,0.272,0.311,0.453,0.764,0.327,103,0.0,2.1,1.5,2.2,1011853,0
