,Unnamed: 0,Season,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Off,Def,WAR,playerid,clusters
0,0,1923,152,699,41,151,131,17,0.243,0.133,0.372,0.423,0.393,0.545,0.764,1.309,0.571,231,-3.2,117.3,12.6,15.0,1011327,0
1,1,1921,152,693,59,177,171,17,0.209,0.117,0.469,0.363,0.378,0.512,0.846,1.358,0.575,224,0.2,119.2,-0.2,13.9,1011327,0
2,2,1920,142,615,54,158,137,14,0.244,0.13,0.473,0.365,0.376,0.533,0.849,1.382,0.598,239,-0.3,110.9,-4.7,13.3,1011327,0
3,3,1927,151,691,60,158,164,7,0.198,0.129,0.417,0.338,0.356,0.486,0.772,1.258,0.545,212,-1.8,102.7,5.5,13.0,1011327,0
4,4,2002,143,612,46,117,110,9,0.324,0.077,0.429,0.33,0.37,0.582,0.799,1.381,0.544,244,-1.2,108.9,-2.0,12.7,1109,1
5,5,2001,153,664,73,129,137,13,0.267,0.14,0.536,0.266,0.328,0.515,0.863,1.378,0.537,235,1.3,118.0,-12.0,12.5,1109,1
6,6,1924,153,681,46,143,121,9,0.209,0.119,0.361,0.383,0.378,0.513,0.739,1.252,0.549,210,-1.5,100.5,2.5,12.5,1011327,0
7,7,1927,155,717,47,149,175,10,0.152,0.117,0.392,0.377,0.373,0.474,0.765,1.239,0.54,209,-2.0,103.3,-1.7,12.5,1004598,0
8,8,1924,143,640,25,121,94,5,0.139,0.05,0.272,0.422,0.424,0.507,0.696,1.203,0.537,221,-2.0,94.2,11.4,12.5,1006030,0
9,9,1926,152,652,47,139,150,11,0.221,0.117,0.366,0.368,0.372,0.516,0.737,1.253,0.551,216,-2.0,98.6,-1.6,12.0,1011327,0
10,10,2004,147,617,45,129,101,6,0.376,0.066,0.45,0.31,0.362,0.609,0.812,1.421,0.537,233,-0.3,105.7,-4.4,11.9,1109,1
11,11,1946,150,672,38,142,123,0,0.232,0.065,0.325,0.319,0.342,0.497,0.667,1.164,0.525,215,-0.5,87.3,-2.5,11.8,1014040,0
12,12,1942,150,671,36,141,137,3,0.216,0.076,0.291,0.345,0.356,0.499,0.648,1.147,0.524,209,-0.6,86.1,-1.5,11.6,1014040,0
13,13,1956,150,652,52,132,130,10,0.172,0.152,0.353,0.352,0.353,0.464,0.705,1.169,0.498,202,2.1,86.4,4.1,11.5,1008082,0
14,14,1957,144,623,34,121,94,16,0.234,0.12,0.3,0.378,0.365,0.512,0.665,1.177,0.498,217,2.7,88.9,0.2,11.4,1008082,0
15,15,1932,154,701,58,151,169,3,0.165,0.137,0.385,0.36,0.364,0.469,0.749,1.218,0.522,198,-2.6,92.9,-0.9,11.3,1004285,0
16,16,1921,154,674,21,131,126,13,0.089,0.071,0.242,0.409,0.397,0.458,0.639,1.097,0.489,191,-0.7,77.0,14.3,11.2,1006030,0
17,17,1948,155,694,39,135,131,7,0.114,0.049,0.326,0.355,0.376,0.45,0.702,1.152,0.512,201,1.1,87.5,0.3,11.1,1009405,0
18,18,1929,156,712,39,156,149,2,0.122,0.091,0.299,0.382,0.38,0.459,0.679,1.138,0.497,174,0.1,77.9,16.8,11.1,1006030,0
19,19,1967,161,680,44,112,121,10,0.134,0.101,0.295,0.308,0.326,0.418,0.622,1.04,0.454,194,-0.4,67.0,14.6,11.1,1014326,0
20,20,1941,143,606,37,135,120,2,0.243,0.045,0.329,0.378,0.406,0.553,0.735,1.288,0.568,221,-1.7,95.0,-8.8,11.0,1014040,0
21,21,1975,146,639,17,107,94,67,0.207,0.081,0.181,0.336,0.327,0.466,0.508,0.974,0.443,176,9.7,65.6,17.3,11.0,1009179,0
22,22,1948,152,676,18,116,106,3,0.145,0.013,0.179,0.34,0.355,0.453,0.534,0.987,0.455,166,-0.6,56.6,29.4,10.9,1001234,0
23,23,1925,138,605,39,133,143,5,0.137,0.064,0.353,0.385,0.403,0.489,0.756,1.245,0.54,208,1.3,91.2,4.2,10.8,1006030,0
24,24,1931,145,663,46,149,163,5,0.193,0.077,0.328,0.35,0.373,0.495,0.7,1.195,0.525,206,-0.9,94.3,-8.2,10.7,1011327,0
25,25,1934,154,690,49,128,165,9,0.158,0.045,0.344,0.323,0.363,0.465,0.706,1.171,0.511,194,-0.8,90.3,-3.5,10.7,1004598,0
26,26,1965,157,638,52,118,112,9,0.119,0.111,0.328,0.286,0.317,0.398,0.645,1.043,0.448,186,0.3,63.2,14.8,10.7,1008315,0
27,27,1922,154,704,42,141,152,17,0.092,0.071,0.321,0.392,0.401,0.459,0.722,1.181,0.52,198,-0.1,92.7,-8.2,10.6,1006030,0
28,28,1928,154,684,54,163,142,4,0.2,0.127,0.386,0.301,0.323,0.463,0.709,1.172,0.51,200,-1.8,87.2,-4.7,10.6,1011327,0
29,29,1991,162,717,34,99,114,6,0.074,0.064,0.243,0.304,0.323,0.374,0.566,0.94,0.405,154,0.8,46.9,31.8,10.6,1010978,0
30,30,1930,145,676,49,150,153,10,0.201,0.09,0.373,0.336,0.359,0.493,0.732,1.225,0.517,205,-3.0,97.8,-4.2,10.5,1011327,0
31,31,1993,159,674,46,129,123,29,0.187,0.117,0.341,0.321,0.336,0.458,0.677,1.135,0.467,193,1.0,78.4,1.9,10.5,1109,1
32,32,1947,156,693,32,125,114,0,0.234,0.068,0.292,0.332,0.343,0.499,0.634,1.133,0.508,207,-0.6,85.8,-6.7,10.5,1014040,0
33,33,1962,162,706,49,130,141,18,0.11,0.12,0.311,0.286,0.304,0.384,0.615,0.999,0.428,163,2.9,58.7,20.0,10.5,1008315,0
34,34,1964,157,665,47,121,111,19,0.123,0.108,0.311,0.268,0.296,0.383,0.607,0.99,0.424,173,2.1,57.1,17.0,10.5,1008315,0
35,35,2018,136,614,32,129,80,30,0.132,0.148,0.294,0.368,0.346,0.438,0.64,1.078,0.449,185,6.9,69.3,11.6,10.4,13611,1
36,36,1927,155,684,26,133,125,9,0.126,0.056,0.225,0.355,0.361,0.448,0.586,1.034,0.469,177,1.2,67.4,16.8,10.4,1006030,0
37,37,1961,153,646,54,132,128,12,0.195,0.173,0.37,0.309,0.317,0.448,0.687,1.135,0.478,196,2.3,80.8,1.0,10.3,1008082,0
38,38,1954,151,640,41,119,110,8,0.103,0.089,0.322,0.325,0.345,0.411,0.667,1.078,0.471,173,0.1,59.8,20.1,10.3,1008315,0
39,39,2003,130,550,45,111,90,7,0.269,0.105,0.408,0.304,0.341,0.529,0.749,1.278,0.503,212,0.7,80.0,5.6,10.2,1109,1
40,40,1961,159,672,41,119,132,11,0.185,0.126,0.301,0.37,0.361,0.487,0.662,1.149,0.488,194,0.5,80.2,-0.5,10.2,1002043,0
41,41,1990,136,594,28,119,61,65,0.163,0.101,0.252,0.325,0.325,0.439,0.577,1.016,0.447,190,8.8,69.4,9.3,10.2,194,1
42,42,2013,157,716,27,109,97,33,0.154,0.19,0.234,0.376,0.323,0.432,0.557,0.989,0.423,176,8.2,70.5,0.5,10.2,10155,1
43,43,2012,139,639,30,129,83,49,0.105,0.218,0.238,0.383,0.326,0.399,0.564,0.963,0.409,167,14.3,64.4,10.2,10.1,10155,1
44,44,2012,148,610,24,78,103,1,0.113,0.157,0.213,0.368,0.336,0.408,0.549,0.957,0.406,164,-4.6,41.8,36.5,10.1,9166,1
45,45,2002,162,725,57,125,142,9,0.12,0.168,0.324,0.29,0.3,0.392,0.623,1.015,0.424,158,4.7,56.1,19.6,10.0,1274,1
46,46,2001,160,711,64,146,160,0,0.163,0.215,0.409,0.336,0.328,0.437,0.737,1.174,0.465,186,-0.9,78.8,-1.1,9.9,302,1
47,47,1933,149,670,48,125,163,2,0.143,0.139,0.347,0.361,0.356,0.449,0.703,1.152,0.51,189,-0.6,79.0,-6.3,9.9,1004285,0
48,48,1949,155,730,43,150,159,1,0.222,0.066,0.307,0.318,0.343,0.49,0.65,1.14,0.511,186,-0.4,81.5,-7.7,9.9,1014040,0
49,49,1920,154,692,19,137,122,42,0.066,0.027,0.225,0.401,0.407,0.449,0.632,1.081,0.494,176,4.1,72.5,-0.6,9.9,1012021,0
50,50,1943,157,701,13,108,81,9,0.103,0.026,0.206,0.353,0.357,0.425,0.562,0.987,0.461,180,1.5,62.9,6.6,9.9,1009405,0
51,51,1990,151,621,33,104,114,52,0.15,0.134,0.264,0.301,0.301,0.406,0.565,0.971,0.42,165,5.0,52.3,21.5,9.9,1109,1
52,52,1941,139,621,30,122,125,4,0.122,0.021,0.287,0.327,0.357,0.44,0.643,1.083,0.486,181,-0.3,66.2,7.1,9.8,1003311,0
53,53,1955,147,638,37,121,99,8,0.177,0.152,0.306,0.313,0.306,0.431,0.611,1.042,0.451,179,1.8,64.3,9.2,9.8,1008082,0
54,54,1920,149,660,9,96,94,12,0.091,0.076,0.188,0.394,0.37,0.431,0.559,0.99,0.455,187,-1.3,61.9,10.6,9.8,1006030,0
55,55,1963,157,671,38,115,103,8,0.098,0.124,0.268,0.309,0.314,0.38,0.582,0.962,0.417,174,0.7,54.9,12.0,9.8,1008315,0
56,56,1982,156,704,29,129,114,14,0.077,0.089,0.247,0.327,0.331,0.379,0.578,0.957,0.415,164,1.6,54.7,16.2,9.8,1014396,0
57,57,1984,162,716,27,103,86,2,0.099,0.124,0.206,0.319,0.304,0.374,0.51,0.884,0.393,146,-0.1,38.9,31.9,9.8,1010978,0
58,58,1957,132,546,38,96,87,0,0.218,0.079,0.343,0.367,0.388,0.526,0.731,1.257,0.524,223,0.1,79.0,-3.4,9.7,1014040,0
59,59,1936,155,719,49,167,152,3,0.181,0.064,0.342,0.322,0.354,0.478,0.696,1.174,0.512,178,-1.7,84.4,-6.7,9.7,1004598,0
60,60,1928,154,677,27,139,142,4,0.14,0.102,0.274,0.393,0.374,0.467,0.648,1.115,0.496,192,-4.3,76.3,-2.7,9.7,1004598,0
61,61,1996,140,638,49,125,140,16,0.122,0.163,0.325,0.291,0.303,0.392,0.628,1.02,0.423,146,2.6,43.4,33.5,9.7,327,1
62,62,2004,156,657,48,104,121,7,0.081,0.132,0.294,0.325,0.334,0.388,0.629,1.017,0.423,161,-2.2,49.5,27.8,9.7,639,1
63,63,1958,152,685,29,121,96,31,0.114,0.082,0.237,0.344,0.347,0.419,0.583,1.002,0.431,162,4.3,57.4,14.1,9.7,1008315,0
64,64,2016,159,681,29,123,100,30,0.17,0.201,0.235,0.371,0.315,0.441,0.55,0.991,0.418,170,9.6,67.0,4.3,9.7,10155,1
65,65,1959,155,671,45,97,143,2,0.095,0.107,0.292,0.279,0.304,0.374,0.596,0.97,0.409,147,-1.0,38.9,32.4,9.7,1000512,0
66,66,1973,161,733,41,114,104,6,0.169,0.142,0.276,0.275,0.281,0.403,0.556,0.959,0.421,158,0.4,49.4,19.6,9.7,1003864,0
67,67,1985,143,654,24,146,72,80,0.151,0.099,0.201,0.32,0.314,0.419,0.516,0.935,0.413,159,11.7,58.3,13.8,9.7,194,1
68,68,1927,153,693,10,112,78,48,0.062,0.014,0.135,0.332,0.337,0.387,0.472,0.859,0.396,129,9.1,34.1,41.8,9.7,1004364,0
69,69,1930,154,703,41,143,174,12,0.144,0.09,0.343,0.375,0.379,0.473,0.721,1.194,0.507,198,-4.6,93.9,-10.7,9.6,1004598,0
70,70,1935,137,610,19,108,99,4,0.159,0.03,0.222,0.374,0.385,0.491,0.607,1.098,0.493,194,0.5,73.8,5.5,9.6,1013377,0
71,71,2018,140,608,39,101,79,24,0.201,0.204,0.316,0.346,0.312,0.46,0.628,1.088,0.447,188,5.0,69.2,4.2,9.6,10155,1
72,72,1992,140,612,34,109,103,39,0.208,0.113,0.313,0.3,0.311,0.456,0.624,1.08,0.459,198,4.6,70.0,-0.4,9.6,1109,1
73,73,2007,158,708,54,143,156,24,0.134,0.169,0.331,0.309,0.314,0.422,0.645,1.067,0.445,175,7.7,74.2,-0.5,9.6,1274,1
74,74,1969,154,643,40,92,97,3,0.152,0.106,0.292,0.275,0.297,0.403,0.589,0.992,0.433,163,-1.0,46.0,25.2,9.6,1010245,0
75,75,1949,156,704,16,122,124,37,0.122,0.038,0.185,0.34,0.342,0.432,0.528,0.96,0.442,156,7.2,56.1,16.7,9.6,1011070,0
76,76,2003,157,685,43,137,124,5,0.115,0.095,0.308,0.346,0.359,0.439,0.667,1.106,0.461,184,5.6,79.8,-5.4,9.5,1177,1
77,77,2000,148,672,41,134,132,15,0.149,0.18,0.291,0.333,0.316,0.42,0.606,1.026,0.431,158,1.3,54.4,22.6,9.5,1274,1
78,78,1976,141,599,27,113,111,60,0.19,0.068,0.256,0.298,0.32,0.444,0.576,1.02,0.454,184,8.5,64.4,2.1,9.5,1009179,0
79,79,2011,158,732,32,119,105,39,0.071,0.134,0.23,0.336,0.321,0.376,0.552,0.928,0.4,150,5.1,47.5,18.0,9.5,4727,1
80,80,1967,161,697,31,107,98,1,0.138,0.148,0.212,0.313,0.3,0.395,0.512,0.907,0.4,153,-1.1,39.7,22.0,9.5,1011447,0
81,81,1973,157,698,26,116,82,67,0.159,0.087,0.203,0.286,0.29,0.406,0.493,0.899,0.405,156,7.9,53.0,14.7,9.5,1009179,0
82,82,1974,162,686,36,108,116,23,0.155,0.201,0.264,0.311,0.282,0.395,0.546,0.941,0.417,157,0.6,44.7,21.9,9.4,1011586,0
83,83,2015,153,654,42,118,99,6,0.19,0.2,0.319,0.369,0.33,0.46,0.649,1.109,0.461,197,3.6,77.7,-10.2,9.3,11579,1
84,84,2015,159,682,41,104,90,11,0.135,0.232,0.29,0.344,0.299,0.402,0.59,0.992,0.415,171,3.0,58.7,6.6,9.3,10155,1
85,85,1944,146,667,12,112,94,7,0.135,0.042,0.202,0.35,0.347,0.44,0.549,0.989,0.457,174,0.9,58.7,9.0,9.3,1009405,0
86,86,1968,157,664,23,90,74,13,0.179,0.136,0.195,0.323,0.301,0.426,0.495,0.921,0.414,170,0.7,46.8,16.7,9.3,1014326,0
87,87,1997,162,744,22,146,81,47,0.113,0.144,0.192,0.34,0.309,0.415,0.501,0.916,0.401,148,5.2,50.3,20.8,9.3,549,1
88,88,2001,154,671,38,109,120,2,0.192,0.124,0.317,0.343,0.342,0.477,0.66,1.137,0.465,193,0.3,79.1,-7.9,9.2,818,1
89,89,1923,144,626,18,121,115,9,0.118,0.064,0.229,0.414,0.403,0.481,0.632,1.113,0.503,189,0.7,74.3,-1.1,9.2,1005590,0
90,90,1931,155,738,46,163,184,17,0.159,0.076,0.321,0.319,0.341,0.446,0.662,1.108,0.488,184,-2.0,82.0,-14.7,9.2,1004598,0
91,91,1996,158,675,42,122,129,40,0.224,0.113,0.308,0.289,0.308,0.461,0.615,1.076,0.446,179,4.6,72.1,3.5,9.2,1109,1
92,92,1949,157,721,36,128,123,3,0.148,0.053,0.286,0.318,0.338,0.438,0.624,1.062,0.477,177,0.4,69.8,-1.6,9.2,1009405,0
93,93,1996,146,677,36,141,123,15,0.087,0.154,0.273,0.382,0.358,0.414,0.631,1.045,0.443,159,1.0,56.0,15.8,9.2,1274,1
94,94,2003,161,715,47,124,118,17,0.122,0.176,0.301,0.305,0.298,0.396,0.6,0.996,0.416,151,4.3,50.3,18.2,9.2,1274,1
95,95,1977,154,667,38,114,101,15,0.156,0.183,0.3,0.282,0.274,0.393,0.574,0.967,0.415,155,0.3,44.5,23.6,9.2,1011586,0
96,96,1972,147,652,40,87,125,6,0.153,0.129,0.271,0.246,0.27,0.379,0.541,0.92,0.402,156,-0.8,39.4,20.0,9.2,1000826,0
97,97,1997,153,664,49,143,130,33,0.117,0.136,0.354,0.367,0.366,0.452,0.72,1.172,0.488,177,3.2,68.0,3.4,9.1,455,1
98,98,1980,117,515,24,87,118,15,0.113,0.043,0.274,0.368,0.39,0.454,0.664,1.118,0.478,198,0.5,59.7,9.6,9.1,1001400,0
99,99,1937,151,692,46,151,167,3,0.092,0.053,0.327,0.314,0.346,0.412,0.673,1.085,0.474,165,0.2,65.3,4.1,9.1,1003311,0
100,100,1997,152,633,40,104,124,5,0.109,0.122,0.277,0.363,0.362,0.431,0.638,1.069,0.452,183,0.6,66.9,5.5,9.1,893,1
101,101,1953,155,688,43,115,145,8,0.124,0.07,0.277,0.311,0.336,0.422,0.613,1.035,0.456,178,-0.6,65.9,1.9,9.1,1011208,0
102,102,2005,162,715,48,124,130,21,0.127,0.194,0.289,0.347,0.321,0.421,0.61,1.031,0.436,174,2.2,66.6,-0.2,9.1,1274,1
103,103,1928,140,619,21,99,94,5,0.173,0.066,0.245,0.394,0.387,0.498,0.632,1.13,0.506,196,0.6,78.7,-6.7,9.0,1006030,0
104,104,1955,152,670,51,123,127,24,0.118,0.09,0.34,0.282,0.319,0.4,0.659,1.059,0.45,172,3.7,63.8,6.1,9.0,1008315,0
105,105,1997,157,704,56,125,147,15,0.108,0.172,0.342,0.291,0.304,0.382,0.646,1.028,0.421,154,1.3,50.0,16.8,9.0,327,1
106,106,2004,142,593,34,109,124,4,0.121,0.155,0.284,0.323,0.314,0.409,0.598,1.007,0.422,159,4.4,49.3,23.4,9.0,970,1
107,107,1980,150,652,48,104,121,12,0.137,0.183,0.338,0.277,0.286,0.38,0.624,1.004,0.428,172,0.3,53.2,11.9,9.0,1011586,0
108,108,1951,153,642,19,106,88,25,0.123,0.042,0.19,0.331,0.338,0.429,0.527,0.956,0.436,155,2.3,46.8,20.6,9.0,1011070,0
109,109,1990,149,691,9,106,60,33,0.129,0.069,0.115,0.341,0.325,0.418,0.441,0.859,0.384,139,4.3,35.4,27.2,9.0,1003619,0
110,110,1944,154,723,8,125,43,55,0.101,0.12,0.142,0.359,0.319,0.389,0.46,0.849,0.397,141,6.3,39.8,21.7,9.0,1012546,0
111,111,2001,162,728,57,128,142,1,0.137,0.114,0.363,0.297,0.325,0.429,0.688,1.117,0.454,173,-0.3,69.5,-2.3,8.9,55,1
112,112,1987,147,667,24,108,89,1,0.157,0.072,0.225,0.361,0.363,0.461,0.588,1.049,0.443,171,-1.4,58.6,8.7,8.9,1001124,0
113,113,1970,161,697,40,125,102,23,0.184,0.095,0.263,0.316,0.329,0.452,0.592,1.044,0.455,179,-0.3,65.1,-1.5,8.9,1014326,0
114,114,1997,159,690,40,123,101,37,0.21,0.126,0.293,0.28,0.291,0.446,0.585,1.031,0.43,165,4.0,61.2,6.9,8.9,1109,1
115,115,1969,152,677,47,123,118,13,0.168,0.21,0.333,0.288,0.275,0.41,0.608,1.018,0.442,179,1.0,62.9,0.1,8.9,1006308,0
116,116,1977,158,689,52,124,149,6,0.089,0.155,0.311,0.313,0.32,0.382,0.631,1.013,0.43,165,0.1,54.4,10.4,8.9,1004250,0
117,117,1961,155,671,34,115,120,21,0.083,0.095,0.267,0.317,0.327,0.381,0.594,0.975,0.41,153,0.7,45.5,20.0,8.9,1000001,0
118,118,1945,152,717,10,107,64,33,0.109,0.086,0.168,0.33,0.309,0.385,0.476,0.861,0.404,148,-0.4,37.2,24.6,8.9,1012546,0
119,119,1934,150,652,44,120,130,11,0.17,0.115,0.319,0.324,0.334,0.449,0.653,1.102,0.484,171,1.0,65.6,2.1,8.8,1004285,0
120,120,1953,153,680,42,132,126,16,0.121,0.132,0.292,0.341,0.336,0.419,0.627,1.046,0.459,165,0.9,59.0,7.1,8.8,1012230,0
121,121,1958,150,654,42,127,97,18,0.197,0.183,0.287,0.323,0.304,0.443,0.592,1.035,0.446,187,2.9,68.6,-5.9,8.8,1008082,0
122,122,1946,156,702,16,124,103,7,0.104,0.044,0.221,0.367,0.365,0.434,0.587,1.021,0.468,187,1.0,68.2,-8.7,8.8,1009405,0
123,123,1985,161,758,8,107,78,2,0.127,0.08,0.11,0.396,0.368,0.45,0.478,0.928,0.415,156,-0.4,50.9,9.0,8.8,1001124,0
124,124,1942,147,625,18,88,103,12,0.126,0.152,0.169,0.365,0.322,0.409,0.491,0.9,0.423,152,-0.2,38.4,22.4,8.8,1004874,0
125,125,1932,133,589,41,120,137,2,0.221,0.105,0.319,0.325,0.341,0.489,0.661,1.15,0.501,192,-0.6,74.7,-5.7,8.7,1011327,0
126,126,2008,148,641,37,100,116,7,0.162,0.084,0.296,0.34,0.357,0.462,0.653,1.115,0.459,184,-0.2,67.7,-1.0,8.7,1177,1
127,127,1923,150,693,17,133,130,8,0.134,0.022,0.23,0.371,0.38,0.469,0.61,1.079,0.489,178,-0.3,71.1,-4.7,8.7,1012309,0
128,128,1935,149,672,30,125,119,8,0.196,0.057,0.254,0.313,0.329,0.466,0.583,1.049,0.471,171,-1.8,64.6,2.6,8.7,1004598,0
129,129,1920,150,674,8,137,107,10,0.144,0.019,0.174,0.388,0.388,0.483,0.562,1.045,0.483,171,-0.4,61.6,-0.7,8.7,1012309,0
130,130,1953,157,681,47,110,135,1,0.145,0.122,0.325,0.285,0.302,0.406,0.627,1.033,0.451,167,-0.4,59.8,4.9,8.7,1008236,0
131,131,1938,150,652,36,116,116,2,0.181,0.072,0.271,0.288,0.311,0.442,0.583,1.025,0.459,181,0.1,64.4,6.5,8.7,1009904,0
132,132,1945,154,713,28,125,117,15,0.098,0.013,0.225,0.327,0.352,0.42,0.577,0.997,0.463,171,2.6,63.2,-4.6,8.7,1005980,0
133,133,1958,154,682,47,119,129,4,0.076,0.128,0.301,0.297,0.313,0.366,0.614,0.98,0.416,151,-0.4,42.8,19.3,8.7,1000512,0
134,134,1964,161,686,30,94,114,3,0.125,0.14,0.252,0.328,0.313,0.398,0.564,0.962,0.417,164,-0.7,48.8,6.9,8.7,1011447,0
135,135,2000,157,747,25,121,100,28,0.086,0.11,0.186,0.375,0.355,0.409,0.541,0.95,0.408,140,2.0,42.2,22.2,8.7,11,1
136,136,2009,152,599,27,91,91,17,0.152,0.174,0.246,0.326,0.297,0.405,0.543,0.948,0.407,152,4.6,43.7,22.3,8.7,7435,1
137,137,2015,158,711,41,122,123,6,0.103,0.187,0.271,0.314,0.297,0.371,0.568,0.939,0.398,154,4.0,48.8,10.1,8.7,5038,1
138,138,1972,149,680,16,122,73,58,0.169,0.065,0.143,0.292,0.292,0.417,0.435,0.852,0.392,150,5.8,43.2,10.7,8.7,1009179,0
139,139,2013,148,652,44,103,137,3,0.138,0.144,0.288,0.356,0.348,0.442,0.636,1.078,0.455,193,-6.0,62.6,-4.0,8.6,1744,1
140,140,1951,152,678,32,124,108,4,0.145,0.059,0.26,0.342,0.355,0.449,0.614,1.063,0.475,180,-0.6,66.9,-4.8,8.6,1009405,0
141,141,1979,147,622,39,116,122,2,0.132,0.127,0.303,0.33,0.333,0.423,0.637,1.06,0.456,175,-0.2,56.4,7.2,8.6,1007872,0
142,142,1977,155,694,14,128,100,23,0.099,0.079,0.182,0.408,0.388,0.449,0.57,1.019,0.44,175,0.0,61.5,-1.1,8.6,1001942,0
143,143,2004,145,645,31,118,93,12,0.183,0.18,0.264,0.34,0.305,0.436,0.569,1.005,0.429,162,5.5,56.9,10.2,8.6,1152,1
144,144,1988,155,719,5,128,58,2,0.174,0.047,0.123,0.379,0.366,0.476,0.49,0.966,0.427,167,-1.6,54.2,2.6,8.6,1001124,0
145,145,1974,149,641,22,107,67,58,0.187,0.108,0.201,0.3,0.293,0.427,0.494,0.921,0.417,162,7.2,52.2,7.3,8.6,1009179,0
146,146,2008,145,573,23,68,87,5,0.099,0.112,0.222,0.306,0.301,0.373,0.523,0.896,0.386,135,-4.8,20.5,47.1,8.6,4810,1
147,147,1998,155,681,70,130,147,1,0.238,0.228,0.454,0.285,0.299,0.47,0.752,1.222,0.492,205,0.2,90.6,-25.1,8.5,1008559,0
148,148,1939,120,524,30,108,126,3,0.099,0.038,0.29,0.354,0.381,0.448,0.671,1.119,0.495,180,0.3,58.6,9.6,8.5,1003311,0
149,149,1937,157,700,37,138,159,4,0.181,0.07,0.292,0.337,0.351,0.473,0.643,1.116,0.494,176,-1.1,75.8,-12.8,8.5,1004598,0
150,150,1948,137,638,25,124,127,4,0.197,0.064,0.246,0.368,0.369,0.497,0.615,1.112,0.504,183,0.4,69.1,-5.8,8.5,1014040,0
151,151,1935,147,649,36,118,115,6,0.176,0.153,0.29,0.373,0.346,0.461,0.636,1.097,0.485,175,-0.8,66.8,-0.3,8.5,1004285,0
152,152,1998,156,697,37,120,122,28,0.187,0.132,0.306,0.303,0.303,0.438,0.609,1.047,0.434,170,0.4,62.0,3.1,8.5,1109,1
153,153,1934,154,708,11,134,127,11,0.14,0.035,0.161,0.359,0.356,0.45,0.517,0.967,0.442,149,-1.8,47.3,15.8,8.5,1004596,0
154,154,1966,155,672,30,93,94,4,0.141,0.116,0.226,0.315,0.312,0.412,0.538,0.95,0.412,157,-0.7,43.8,11.0,8.5,1011447,0
155,155,1966,152,629,37,99,103,5,0.111,0.129,0.268,0.279,0.288,0.368,0.556,0.924,0.397,151,0.9,38.7,18.8,8.5,1008315,0
156,156,1983,162,726,27,121,102,0,0.08,0.134,0.199,0.338,0.318,0.371,0.517,0.888,0.392,146,-1.7,37.6,20.0,8.5,1010978,0
157,157,1938,148,650,7,88,68,14,0.16,0.032,0.122,0.326,0.322,0.433,0.444,0.877,0.411,150,2.5,41.5,27.1,8.5,1013377,0
158,158,1954,117,526,29,93,89,0,0.259,0.061,0.29,0.317,0.345,0.513,0.635,1.148,0.507,207,0.6,66.1,-1.7,8.4,1014040,0
159,159,2009,160,700,47,124,135,16,0.164,0.091,0.331,0.299,0.327,0.443,0.658,1.101,0.447,180,1.6,70.5,-8.8,8.4,1177,1
160,160,2019,134,600,45,110,104,11,0.183,0.2,0.353,0.298,0.291,0.438,0.645,1.083,0.436,177,7.1,65.9,-0.3,8.4,10155,1
161,161,2010,133,571,32,95,100,8,0.075,0.166,0.274,0.39,0.359,0.411,0.633,1.044,0.445,175,4.9,55.3,5.9,8.4,1875,1
162,162,1957,152,668,35,112,97,38,0.114,0.093,0.292,0.324,0.333,0.407,0.626,1.033,0.439,170,0.6,57.1,3.1,8.4,1008315,0
163,163,2009,138,606,28,94,96,4,0.125,0.104,0.222,0.373,0.365,0.444,0.587,1.031,0.438,170,-2.1,50.8,11.9,8.4,1857,1
164,164,1993,156,691,45,113,109,17,0.139,0.132,0.308,0.298,0.309,0.408,0.617,1.025,0.43,164,-0.2,54.2,8.0,8.4,327,1
165,165,2019,156,690,41,122,112,5,0.172,0.12,0.296,0.281,0.296,0.423,0.592,1.015,0.418,167,-2.1,57.3,4.8,8.4,17678,1
166,166,1963,161,714,44,121,130,31,0.109,0.132,0.268,0.315,0.319,0.391,0.586,0.977,0.42,178,4.6,65.0,-13.9,8.4,1000001,0
167,167,2007,160,711,30,113,107,34,0.132,0.162,0.222,0.356,0.325,0.416,0.546,0.962,0.413,151,6.4,53.4,8.7,8.4,3787,1
168,168,1982,154,653,29,91,97,2,0.119,0.098,0.217,0.284,0.293,0.381,0.51,0.891,0.388,150,-1.6,34.9,23.3,8.4,1002015,0
169,169,1989,150,674,12,113,57,77,0.187,0.101,0.126,0.292,0.274,0.411,0.399,0.81,0.373,139,9.6,39.2,18.1,8.4,194,1
170,170,1938,149,685,50,139,175,5,0.174,0.111,0.356,0.335,0.349,0.462,0.704,1.166,0.508,173,-1.1,73.0,-12.4,8.3,1004285,0
171,171,2000,160,697,42,138,147,5,0.148,0.088,0.326,0.357,0.372,0.463,0.698,1.161,0.476,162,-0.3,58.1,6.4,8.3,432,1
172,172,1937,154,701,40,137,183,8,0.146,0.144,0.332,0.353,0.337,0.436,0.668,1.104,0.483,164,-0.2,64.9,-4.7,8.3,1004996,0
173,173,1954,149,679,40,120,130,6,0.124,0.141,0.307,0.35,0.341,0.423,0.647,1.07,0.47,170,-0.6,60.5,-1.9,8.3,1012230,0
174,174,1922,142,654,8,134,105,51,0.075,0.021,0.174,0.422,0.42,0.467,0.594,1.061,0.481,170,3.8,64.9,-0.1,8.3,1012021,0
